STD_NO,MAJOR_EDESC,GENDER_EDESC,TAWJIH_COUNTRY,TAWJIH_GPA,TAWJIH_BRANCH
371610,Data Science & Artificial Intelligence,Female,Jordan,99,GCE Sci
371775,Data Science & Artificial Intelligence,Male,Jordan,98,GCE Sci
378595,Data Science & Artificial Intelligence,Female,U.A.E,94,Scientific
378683,Data Science & Artificial Intelligence,Male,Jordan,97,GCE Sci
371423,Data Science & Artificial Intelligence,Male,Jordan,95,GCE Sci
371500,Data Science & Artificial Intelligence,Male,Jordan,97,SAT2 Sci.
371764,Data Science & Artificial Intelligence,Male,U.A.E,98,Scientific
373777,Data Science & Artificial Intelligence,Female,Jordan,91,Scientific
376241,Data Science & Artificial Intelligence,Female,Jordan,100,GCE Sci
379145,Data Science & Artificial Intelligence,Female,K.S.A,96,Scientific
368310,Data Science & Artificial Intelligence,Male,K.S.A,96,Scientific
368332,Data Science & Artificial Intelligence,Male,Jordan,92,SAT2 Sci.
373887,Data Science & Artificial Intelligence,Female,Jordan,90,Scientific
373953,Data Science & Artificial Intelligence,Female,U.A.E,91,SAT2 Sci.
374041,Data Science & Artificial Intelligence,Male,U.A.E,94,Scientific
374074,Data Science & Artificial Intelligence,Male,Kuwait,90,Scientific
367771,Data Science & Artificial Intelligence,Female,Jordan,97,GCE Sci
367837,Data Science & Artificial Intelligence,Female,Jordan,93,GCE Sci
368981,Data Science & Artificial Intelligence,Female,Jordan,93,IB Scie
369091,Data Science & Artificial Intelligence,Male,Jordan,95,SAT2 Sci.
369102,Data Science & Artificial Intelligence,Female,K.S.A,96,Scientific
382819,Data Science & Artificial Intelligence,Male,K.S.A,83,SAT2 Sci.
369234,Data Science & Artificial Intelligence,Female,Jordan,100,GCE Sci
371203,Data Science & Artificial Intelligence,Male,Jordan,78,Scientific / Medical 
375119,Data Science & Artificial Intelligence,Female,K.S.A,91,GCE Sci
369399,Data Science & Artificial Intelligence,Male,K.S.A,78,SAT2 Sci.
369410,Data Science & Artificial Intelligence,Male,Jordan,92,SAT2 Sci.
369454,Data Science & Artificial Intelligence,Male,Jordan,93,SAT2 Sci.
369465,Data Science & Artificial Intelligence,Male,Kuwait,95,Scientific
369663,Data Science & Artificial Intelligence,Male,Kuwait,98,Scientific
369993,Data Science & Artificial Intelligence,Male,Jordan,92,Scientific / Medical 
372534,Data Science & Artificial Intelligence,Male,K.S.A,90,GCE Sci
372578,Data Science & Artificial Intelligence,Male,K.S.A,82,Scientific
372699,Data Science & Artificial Intelligence,Male,Jordan,93,SAT2 Sci.
370279,Data Science & Artificial Intelligence,Female,U.A.E,93,SAT2 Sci.
370521,Data Science & Artificial Intelligence,Male,Qatar,94,Scientific
380377,Data Science & Artificial Intelligence,Male,Jordan,96,GCE Sci
373095,Data Science & Artificial Intelligence,Male,Jordan,94,GCE Sci
373238,Data Science & Artificial Intelligence,Female,Jordan,90,GCE Sci
373304,Data Science & Artificial Intelligence,Male,Jordan,91,SAT2 Sci.
373359,Data Science & Artificial Intelligence,Male,Jordan,90,Scientific
373557,Data Science & Artificial Intelligence,Male,Jordan,92,Scientific
373590,Data Science & Artificial Intelligence,Female,Jordan,90,IB Scie
373623,Data Science & Artificial Intelligence,Male,Jordan,92,SAT2 Sci.
369718,Data Science & Artificial Intelligence,Female,Jordan,95,SAT2 Sci.
369773,Data Science & Artificial Intelligence,Female,Jordan,97,GCE Sci
369927,Data Science & Artificial Intelligence,Male,Kuwait,93,Scientific
370026,Data Science & Artificial Intelligence,Female,Jordan,95,Scientific / 
380564,Data Science & Artificial Intelligence,Male,Jordan,95,SAT2 Sci.
380630,Data Science & Artificial Intelligence,Male,Palestine,84,Scientific
380872,Data Science & Artificial Intelligence,Male,U.A.E,93,Scientific
373744,Data Science & Artificial Intelligence,Male,Kuwait,92,Scientific
375988,Data Science & Artificial Intelligence,Female,U.A.E,99,Scientific
376164,Data Science & Artificial Intelligence,Male,Jordan,88,GCE Sci
372358,Data Science & Artificial Intelligence,Male,Jordan,94,Scientific / Medical 
373348,Data Science & Artificial Intelligence,Male,Jordan,92,IB Scie
377913,Data Science & Artificial Intelligence,Male,Jordan,89,Scientific
370763,Data Science & Artificial Intelligence,Male,Jordan,94,SAT2 Sci.
372908,Data Science & Artificial Intelligence,Male,Jordan,95,Scientific
368629,Data Science & Artificial Intelligence,Male,Jordan,80,GCE Sci
376472,Data Science & Artificial Intelligence,Male,Jordan,80,Scientific / Medical 
379816,Data Science & Artificial Intelligence,Female,Jordan,95,Scientific
380993,Data Science & Artificial Intelligence,Male,K.S.A,72,SAT2 Sci.
381873,Data Science & Artificial Intelligence,Female,K.S.A,87,GCE Sci
376285,Data Science & Artificial Intelligence,Male,Jordan,83,Scientific
379277,Data Science & Artificial Intelligence,Male,Palestine,96,Scientific
382874,Data Science & Artificial Intelligence,Female,Palestine,97,Scientific
368739,Data Science & Artificial Intelligence,Female,K.S.A,93,Scientific
371929,Data Science & Artificial Intelligence,Male,Jordan,97,IB Scie
382918,Data Science & Artificial Intelligence,Female,Jordan,85,IB Scie
372941,Data Science & Artificial Intelligence,Female,K.S.A,92,GCE Sci
372985,Data Science & Artificial Intelligence,Female,K.S.A,91,Scientific
373271,Data Science & Artificial Intelligence,Male,K.S.A,91,GCE Sci
382896,Data Science & Artificial Intelligence,Male,Jordan,94,SAT2 Sci.
372468,Data Science & Artificial Intelligence,Male,K.S.A,93,Scientific
387285,Data Science & Artificial Intelligence,Male,Jordan,98,Scientific / Medical 
391201,Data Science & Artificial Intelligence,Male,Jordan,98,SAT2 Sci.
384315,Data Science & Artificial Intelligence,Female,Jordan,96,GCE Sci
387142,Data Science & Artificial Intelligence,Female,Jordan,96,GCE Sci
393379,Data Science & Artificial Intelligence,Female,Jordan,97,Scientific
393412,Data Science & Artificial Intelligence,Male,Jordan,90,Scientific
387791,Data Science & Artificial Intelligence,Female,K.S.A,94,Scientific
388462,Data Science & Artificial Intelligence,Male,Jordan,94,SAT2 Sci.
392653,Data Science & Artificial Intelligence,Male,Kuwait,97,Scientific
394688,Data Science & Artificial Intelligence,Male,Kuwait,92,GCE Sci
394996,Data Science & Artificial Intelligence,Male,K.S.A,87,Scientific
390123,Data Science & Artificial Intelligence,Male,Qatar,97,Scientific / IT
385987,Data Science & Artificial Intelligence,Male,Jordan,89,IB Scie
392697,Data Science & Artificial Intelligence,Male,Qatar,99,Scientific
385877,Data Science & Artificial Intelligence,Male,K.S.A,91,GCE Sci
385932,Data Science & Artificial Intelligence,Male,U.A.E,99,SAT2 Sci.
388165,Data Science & Artificial Intelligence,Female,Jordan,90,SAT2 Sci.
389815,Data Science & Artificial Intelligence,Male,K.S.A,95,Scientific
390618,Data Science & Artificial Intelligence,Male,Jordan,95,GCE Sci
391234,Data Science & Artificial Intelligence,Female,Jordan,87,Scientific / Medical 
394864,Data Science & Artificial Intelligence,Female,Egypt,60,Scientific
384788,Data Science & Artificial Intelligence,Male,Jordan,91,Scientific / Medical 
384810,Data Science & Artificial Intelligence,Male,Jordan,90,Scientific / Medical 
384843,Data Science & Artificial Intelligence,Female,Oman,94,GCE Sci
384876,Data Science & Artificial Intelligence,Female,Jordan,85,Scientific / Medical 
384953,Data Science & Artificial Intelligence,Female,Jordan,86,GCE Sci
385096,Data Science & Artificial Intelligence,Male,Kuwait,94,Scientific
385283,Data Science & Artificial Intelligence,Female,U.A.E,98,Scientific
385470,Data Science & Artificial Intelligence,Male,Jordan,96,Scientific / Medical 
385503,Data Science & Artificial Intelligence,Male,Jordan,98,IB Scie
393093,Data Science & Artificial Intelligence,Male,Jordan,95,GCE Sci
386889,Data Science & Artificial Intelligence,Female,U.A.E,95,Scientific
386438,Data Science & Artificial Intelligence,Male,Jordan,84,GCE Sci
392345,Data Science & Artificial Intelligence,Male,Jordan,96,GCE Sci
392356,Data Science & Artificial Intelligence,Female,Jordan,90,Scientific / Medical 
392367,Data Science & Artificial Intelligence,Male,K.S.A,93,Scientific
392631,Data Science & Artificial Intelligence,Female,Palestine,97,Scientific
384733,Data Science & Artificial Intelligence,Female,Jordan,98,GCE Sci
385151,Data Science & Artificial Intelligence,Male,K.S.A,99,GCE Sci
392730,Data Science & Artificial Intelligence,Male,Jordan,94,Scientific / Medical 
392961,Data Science & Artificial Intelligence,Male,Jordan,98,SAT2 Sci.
393115,Data Science & Artificial Intelligence,Female,K.S.A,98,Scientific
394281,Data Science & Artificial Intelligence,Female,K.S.A,99,Scientific
